ID,Name,Type,Description,Amount(in num),location,,,,,,,,,,,,
1,"Arduino, Rpi Box",Microcontroller,This is Arduino,,,,,,,,,,,,,,
2,Arduino Uno,Microcontroller,Hola! This is UNO,7,C3_R2_B1,,,,,,,,,,,,
3,Arduino Mega,Microcontroller,Unknown,1,C3_R2_B4,,,,,,,,,,,,
4,Arduino Uno without IC,Microcontroller,Unknown,1,,,,,,,,,,,,,
5,Raspberry Pi,Microcontroller,Unknown,2,C3_R2_B2,,,,,,,,,,,,
6,Raspberry Pi Screen, ,Unknown,2,C3_R2_B6,,,,,,,,,,,,
7,Set top Box,,Unknown,1,C3_R1,,,,,,,,,,,,
8,Induino,Microcontroller,Unknown,1,,,,,,,,,,,,,
9,Arduino Shield v1.1,Microcontroller accessory,Unknown,1,C3_R4,,,,,,,,,,,,
10,Arduino EasyVR Shield,Microcontroller accessory,Unknown,1,C3_R4,,,,,,,,,,,,
11,Arduino Nano power cable,Microcontroller accessory,Unknown,5,,,,,,,,,,,,,
12,Arduino Uno power cable,Microcontroller accessory,Unknown,6,C3_R2,,,,,,,,,,,,
13,WiFi-BT-BLE MCU Module,Microcontroller accessory,Unknown,1,C3_R4,,,,,,,,,,,,
14,Unknown Grid sheet,Microcontroller accessory,Unknown,1,,,,,,,,,,,,,
15,Lipo Rider Pro,Arduino Accessory,Unknown,1,C3_R4,,,,,,,,,,,,
16,Arduino Camera,Arduino Accessory,Unknown,1,C3_R3_B2,,,,,,,,,,,,
17,Krypton FPGA IITB,FPGA,Unknown,1,C3_R2_B3,,,,,,,,,,,,
18,Recording Module Voice Board,With on board mic and speaker,Unknown,2,C3_R2_B5,,,,,,,,,,,,
19,Itsy Bitsy,Microcontroller,Unknown,2,C3_R2_B6,,,,,,,,,,,,
20,Kinect,,Unknown,1,cupboard 4,,,,,,,,,,,,
21,Induino box,,Unknown,,,,,,,,,,,,,,
22,Induino R3,Microcontroller,Unknown,2,C3_R4,,,,,,,,,,,,
23,Induino R4,Microcontroller,Unknown,2,C3_R4,,,,,,,,,,,,
24,Ywrobot accessory,Accessory,Unknown,5,C3_R4,,,,,,,,,,,,