 ,Type,Amount(in num),location,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Arduino, Rpi Box",,,,,,,,,,,,,,,
Arduino Uno,Microcontroller,7,C3_R2_B1,,,,,,,,,,,,
Arduino Mega,Microcontroller,1,C3_R2_B4,,,,,,,,,,,,
Arduino Uno without IC,Microcontroller,1,,,,,,,,,,,,,
Raspberry Pi,Microcontroller,2,C3_R2_B2,,,,,,,,,,,,
Raspberry Pi Screen, ,2,C3_R2_B6,,,,,,,,,,,,
Set top Box,,1,C3_R1,,,,,,,,,,,,
Induino,Microcontroller,1,,,,,,,,,,,,,
Arduino Shield v1.1,Microcontroller accessory,1,C3_R4,,,,,,,,,,,,
Arduino EasyVR Shield,Microcontroller accessory,1,C3_R4,,,,,,,,,,,,
Arduino Nano power cable,Microcontroller accessory,5,,,,,,,,,,,,,
Arduino Uno power cable,Microcontroller accessory,6,C3_R2,,,,,,,,,,,,
WiFi-BT-BLE MCU Module,Microcontroller accessory,1,C3_R4,,,,,,,,,,,,
Unknown Grid sheet,Microcontroller accessory,1,,,,,,,,,,,,,
Lipo Rider Pro,Arduino Accessory,1,C3_R4,,,,,,,,,,,,
Arduino Camera,Arduino Accessory,1,C3_R3_B2,,,,,,,,,,,,
Krypton FPGA IITB,FPGA,1,C3_R2_B3,,,,,,,,,,,,
Recording Module Voice Board,With on board mic and speaker,2,C3_R2_B5,,,,,,,,,,,,
Itsy Bitsy,Microcontroller,2,C3_R2_B6,rahul bhaiya(1),,,,,,,,,,,
Kinect,,1,cupboard 4,,,,,,,,,,,,
Induino box,,,,,,,,,,,,,,,
Induino R3,Microcontroller,2,C3_R4,,,,,,,,,,,,
Induino R4,Microcontroller,2,C3_R4,,,,,,,,,,,,
Ywrobot accessory,Accessory,5,C3_R4,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Lilypad Arduino,,,,,,,,,,,,,,,
Lilypad Arduino,Microcontroller,4,C3_R2_B1,,,,,,,,,,,,
Nuvoton IC 78052,IC,3,,,,,,,,,,,,,
Aplus IC 6016,IC,1,,,,,,,,,,,,,
Atmel Atmega 328,IC,3,,,,,,,,,,,,,
28 leg IC holder,Accessory,6,,,,,,,,,,,,,
28 leg wide IC holder,Accessory,1,,,,,,,,,,,,,
18 leg IC holder,Accessory,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sensors1,,,,,,,,,,,,,,,
SBT4447,Soil Moisture Sensor,1,C3_R3_B1,,,,,,,,,,,,
ECG and EEG kit,ecg and eeg kit,1,C3_R1_Courier box,,,,,,,,,,,,
PIR ,Motion detection,2,C3_R3_B1,,,,,,,,,,,,
ZS 040,bluetooth module,1,,,,,,,,,,,,,
ESP8266 / NODE MCU,Wifi Module,7,C3_R3_B3,1 Issued,robotics club,vineet singla,9991425781,,,,,,,,
Line follower ,Line Follower Sensor,3,C3_R3_B3,,,,,,,,,,,,
IR,IR sensor,2,C3_R3_B2,,,,,,,,,,,,
Proximity,Proximity Sensor,1,,,,,,,,,,,,,
MQ-3,Alcohol Gas Sensor,2,,,,,,,,,,,,,
GY 521,Gyroscope,1,C3_R3_B2,,,,,,,,,,,,
GY neo6mv2,GPS Sensor,1,C3_R3_B1,,,,,,,,,,,,
SIM900_v2.03,GSM Module,1,C3_R3_B1,,,,,,,,,,,,
Magnetic Door Switch,,1,C3_R3_B1,,,,,,,,,,,,
photo transistor,,32,C3_R3_B1,,,,,,,,,,,,
LDR,,10,C3_R3_B1,C1_R1_B5,,,,,,,,,,,
Hall Effect Sensor,,1,C3_R3_B1,,,,,,,,,,,,
NRF ,Wifi Module,4,1(Yashwanth)+2(Rohit),,,,,,,,,,,,
MQ-6(winsen LPG sensor),LPG sensor,1,C3_R3_B1,,,,,,,,,,,,
MQ-7,Carbon monoxide Sensor,1,C3_R3_B1,,,,,,,,,,,,
thermistor,mz71-18rm,8,C3_R3_B1,,,,,,,,,,,,
LR433T2,saw resonator,1,C3_R3_B1,,,,,,,,,,,,
current sensor IC,IC,1,C3_R3_B2,,,,,,,,,,,,
LM ,,,,,,,,,,,,,,,
temperature and humidity sensor,,1,C3_R3_B1,,,,,,,,,,,,
GY-273,,1,C3_R3_B1,,,,,,,,,,,,
Ultra Sonic sensor,,8,C3_R2_B5,,,,,,,,,,,,
Buzzer,,1,C3_R2_B5,,,,,,,,,,,,
RFID sensor,,4,C3_R2_B5,,,,,,,,,,,,
RFID Tag,,9,C3_R2_B5,,,,,,,,,,,,
Diodes,,,,,,,,,,,,,,,
Zener,,,,,,,,,,,,,,,
Normal,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Battery,,,,,,,,,,,,,,,
LIPO,,3,C3_R5_B4,,,,,,,,,,,,
Lithium Ion,,3,C3_R5_B4,,,,,,,,,,,,
Lead acid Battery,,6,C3_R5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Miscellaneous1,,,,,,,,,,,,,,,
crystal 16MHz,,26,C3_R3_B8,,,,,,,,,,,,
crystal 12MHz,,10,C3_R3_B8,,,,,,,,,,,,
Fuse,250V,4,C3_R3_B8,,,,,,,,,,,,
Lipo Charger,charger,1,C3_R3_B8,,,,,,,,,,,,
1117 IC,IC,11,C3_R3,,,,,,,,,,,,
USB to TTL,Module,3,,,,,,,,,,,,,
VGA port,,3,C3_R3_B8,,,,,,,,,,,,
0037 IC,IC,5,,,,,,,,,,,,,
Dual opamp,,13,C3_R3_B8,,,,,,,,,,,,
FTDI transmitter,,1,C3_R3_B1,,,,,,,,,,,,
m-kc388,,1,C3_R3_B2,,,,,,,,,,,,
Mini Arduino YP-05,,,,,,,,,,,,,,,
YwRobot power supply,power supply,1,C3_R3_B2,,,,,,,,,,,,
Capture card,,,C3_R1_B1,,,,,,,,,,,,
PROBE,,4,C3_R2,,,,,,,,,,,,
tyre,,,C3_R5_B2P0,,,,,,,,,,,,
POWER JACK ,,,C1_R1_B1,,,,,,,,,,,,
SOCKET,,,C1_R1_B1,,,,,,,,,,,,
Relay and Motor drivers,,,,,,,,,,,,,,,
2 channel Relay,,3,C3_R3_B6,,,,,,,,,,,,
4 channel Relay,,1,C3_R3_B6,,,,,,,,,,,,
1 channel Relay,,3,C3_R3_B6,,,,,,,,,,,,
Motor Drivers,,3,C3_R3_B6,,,,,,,,,,,,
Special motor driver,,1,C3_R3_B6,,,,,,,,,,,,
servo Driver,,1,C3_R3_B6,,,,,,,,,,,,
ion KP-760,,1,,,,,,,,,,,,,
relay,,2,C3_R3_B6,,,,,,,,,,,,
MOTOR,,,C3_R5_B2,,,,,,,,,,,,
SERVO MOTOR,,1,C3_R3_B10,,,,,,,,,,,,
Stepper Motor,,2,C3_R3_B10,,,,,,,,,,,,
Miscellaneous2 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Laser diode module,5mW red,1,C1_R4_B8,,,,,,,,,,,,
PTC thermistor,,10,,,,,,,,,,,,,
Mini Crocodile Clip,pair,5,,,,,,,,,,,,,
General purpose switching diode,1N4448,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ultra Fast Rectifier,MUR460,4,,,,,,,,,,,,,
POWER ADAPTER,,1,C3_R3_B13,,,,,,,,,,,,
MISCELLANOUS BOX,,,C1_R1_B2,,,,,,,,,,,,
MISCELLANOUS BOX,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LED box,,,,,,,,,,,,,,,
LED Matrix,2388RGB-5,1,C3_R3_B3,,,,,,,,,,,,
LED matrix with kit,,2,C3_R3_B3,,,,,,,,,,,,
Buzzer box,,,,,,,,,,,,,,,
Small,,7,,,,,,,,,,,,,
Big,,2,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Resistor and Inductor box,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Toolbox(C3_R4),,,,,,,,,,,,,,,
Precision Screwdriver set,,6,C3_R4,,,,,,,,,,,,
tweezer,,4,C3_R4,,,,,,,,,,,,
wire stripper,,5,C3_R4,,,,,,,,,,,,
wire cutter,,11,C3_R4,,,,,,,,,,,,
tongs,,1,C3_R4,,,,,,,,,,,,
Twist Drills,,20,C3_R4,,,,,,,,,,,,
scissors,,2,C3_R4,,,,,,,,,,,,
Tester,,1,C3_R4,,,,,,,,,,,,
Compass,,1,C3_R4,,,,,,,,,,,,
32 in one screwdriver set,,1,C3_R4,,,,,,,,,,,,
digital Multimeter,,9,C3_R4,,,,,,,,,,,,
Breadboard,,14,C3_R4,,,,,,,,,,,,
breadboard with Plate,,3,C3_R4,,,,,,,,,,,,
small breadboard,,2,C3_R4,,,,,,,,,,,,
Glue gun with Glue sticks,,1,C3_R4_B1,,,,,,,,,,,,
Solder wire,,4,C3_R4_B1,,,,,,,,,,,,
PCB Board,,2,C3_R4,,,,,,,,,,,,
Wire,,,C3_R5,,,,,,,,,,,,
Jumper Wire,,,C3_R5,,,,,,,,,,,,
Sensor 2,,,,,,,,,,,,,,,
Piezo Vibration Sensor,,3,C3_R3_B2,,,,,,,,,,,,
gyro,,1,C3_R3,,,,,,,,,,,,
Piezo electric sensor,,5,C3_R3_B8,,,,,,,,,,,,
Dual axis gyro,,1,C3_R3_B2,,,,,,,,,,,,
Current sensor carrier,,1,C3_R3_B2,,,,,,,,,,,,
SMD_resistor,,,C3_R3_B12,,,,,,,,,,,,
pi camera,,1,C3_R3_B2,,,,,,,,,,,,
Lens module,,1,C3_R3,,,,,,,,,,,,
microphones,,12,C3_R3_B2,,,,,,,,,,,,
Conser microphone 10 mm,,1,C3_R3_B2,,,,,,,,,,,,
Pedometer,,7,C3_R3_B11,,,,,,,,,,,,
Motor encoder,,1,C3_R3_B8,,,,,,,,,,,,
Moisture sensor,,1,C3_R3_B11,,,,,,,,,,,,
Touch Sensor Box,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
coder decoder and transmittor(C3_R3_B5),,,,,,,,,,,,,,,
encoder type1,transmitter,3,C3_R3_B5,,,,,,,,,,,,
encoder type2,Reciever,3,C3_R3_B5,,,,,,,,,,,,
433 MHz RF Transmitter,For Arduino ARM MCU,1,C3_R3_B5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Transistors1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
RF Id card,,,,,,,,,,,,,,,
Card,,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Timers Ic,,,,,,,,,,,,,,,
555,,10,,,,,,,,,,,,,
741,,10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DTMF module with chip,,,,,,,,,,,,,,,
Graphical LCD display,,1,C3_R3_B9,,,,,,,,,,,,
Screens(Number display),,3,c3_R3_B9,,,,,,,,,,,,
MT3329 ,GPS Module,2,C3_R3_B9,,,,,,,,,,,,
Number pad,,1,,,,,,,,,,,,,
DTMF decoder,,2,C3_R3_B9,,,,,,,,,,,,
7 SEGMENT MODULE,,3,C3_R3_B9,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Transistors2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Miscellaneous3,,,,,,,,,,,,,,,
VGA to USB,,2,,,,,,,,,,,,,
Touchscreen,,1,,,,,,,,,,,,,
DISH CABLE,,1,C3_R5_B3,,,,,,,,,,,,
USB EXTENDER,,3,C3_R5_B3,,,,,,,,,,,,
LAN CABLE,,1,C3_R5_B3,,,,,,,,,,,,
CABLE,,2,C3_R5_B3,,,,,,,,,,,,
CO-AXIAL CABLE,,2,C3_R5_B3,,,,,,,,,,,,
MISCELLANEOUS CABLES,,4,C3_R5_B3,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ping Sensor box,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Siwtches and potentiometer,,,,,,,,,,,,,,,
potentiometer,22k,3,C3_R1_B2,C1_R1_B1,,,,,,,,,,,
Siwitches,DPDT,1,C3_R1_B2,,,,,,,,,,,,
Switches,Elite,,,,,,,,,,,,,,
Switches,packet,,C1_R1_B1,,,,,,,,,,,,
potentiometer,packet,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Screw box,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Remote,,,,,,,,,,,,,,,
IR Remote,remote,1,C3_R3_B7,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VGA,,,,,,,,,,,,,,,
VGA to VGA cable,,1,C3_R2,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Keypad,,,,,,,,,,,,,,,
Keypads for arduino,,2,C3_R2_B5,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Solar Panels,,,,,,,,,,,,,,,
Solar Panels,,2,C3_R1_B1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cupboard3 RACK 5 ,,,,,,,,,,,,,,,
Shantam Bhaiya's stuff,,,,,,,,,,,,,,,
Jumper Wires,,,,,,,,,,,,,,,
Laptop Screen and .....,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CupBoard 5,,,,,,,,,,,,,,,
2019 Projects,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STATONARY,,,,,,,,,,,,,,,
TAPE,,,C3_R1,,,,,,,,,,,,
SCALE,,,C3_R1,,,,,,,,,,,,
ZIP TIE,,,C3_R1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CAPACITOR,,,,,,,,,,,,,,,
CERAMIC CAPACITOR,,,C1_R1_B9,,,,,,,,,,,,
CERAMIC CAPACITOR,,,C1_R1_B11,,,,,,,,,,,,
CERAMIC CAPACITOR,,,C1_R1_B10,,,,,,,,,,,,
ELECTROLYTIC 1000/2200uf,,,C1_R1_B8,,,,,,,,,,,,
SUPER CAPACITOR,,,C1_R1_B6,,,,,,,,,,,,
BIG CAPACITOR,,,C1_R1_B6,,,,,,,,,,,,
PNP TRANSISTOR,,,C1_R1_B7,,,,,,,,,,,,
NPN TRANSISTOR,,,C1_R1_B7,,,,,,,,,,,,
PHOTO TRANSISTOR,,,C1_R1_B7,,,,,,,,,,,,
ELECTROLYTIC,,,C1_R1_B12,,,,,,,,,,,,
DIODE,,,,,,,,,,,,,,,
DIODES,,,C1_R1_B4,,,,,,,,,,,,
,,,,,,,,,,,,,,,
DIGITAL IC ,,,,,,,,,,,,,,,
74148,,,C1_R3_B1,,,,,,,,,,,,
74139,,,C1_R3_B1,,,,,,,,,,,,
74541,,,C1_R3_B1,,,,,,,,,,,,
74244,,,C1_R3_B1,,,,,,,,,,,,
74148,,,C1_R3_B1,,,,,,,,,,,,
74139,,,C1_R3_B1,,,,,,,,,,,,
74573,,,C1_R3_B1,,,,,,,,,,,,
74147,,,C1_R3_B1,,,,,,,,,,,,
74595,,,C1_R3_B1,,,,,,,,,,,,
74125,,,C1_R3_B1,,,,,,,,,,,,
7485,,,C1_R3_B1,,,,,,,,,,,,
74154,,,C1_R3_B1,,,,,,,,,,,,
74128,,,C1_R3_B1,,,,,,,,,,,,
74139,,,C1_R3_B1,,,,,,,,,,,,
DAC,,,C1_R3_B1,,,,,,,,,,,,
74138,,,C1_R3_B1,,,,,,,,,,,,
74244,,,C1_R3_B1,,,,,,,,,,,,
4067,,,C1_R3_B1,,,,,,,,,,,,
74147,,,C1_R3_B1,,,,,,,,,,,,
ADC,,,C1_R3_B1,,,,,,,,,,,,
6016,,,C1_R3_B2,,,,,,,,,,,,
74150,,,C1_R3_B2,,,,,,,,,,,,
74154,,,C1_R3_B2,,,,,,,,,,,,
74181,,,C1_R3_B2,,,,,,,,,,,,
ATMEGA,,,C1_R3_B2,,,,,,,,,,,,
89551,,,C1_R3_B2,,,,,,,,,,,,
78052,,,C1_R3_B2,,,,,,,,,,,,
IC HOLDER,,,C1_R3_B2,,,,,,,,,,,,
2803,,,C1_R3_B3,,,,,,,,,,,,
4072,,,C1_R3_B3,,,,,,,,,,,,
4027,,,C1_R3_B3,,,,,,,,,,,,
74125,,,C1_R3_B3,,,,,,,,,,,,
4020,,,C1_R3_B3,,,,,,,,,,,,
4511,,,C1_R3_B3,,,,,,,,,,,,
7486,,,C1_R3_B3,,,,,,,,,,,,
2003,,,C1_R3_B3,,,,,,,,,,,,
4040,,,C1_R3_B3,,,,,,,,,,,,
1007,,,C1_R3_B3,,,,,,,,,,,,
IC HOLDER,,,C1_R3_B3,,,,,,,,,,,,
2803,,,C1_R3_B4,,,,,,,,,,,,
293D,,,C1_R3_B4,,,,,,,,,,,,
74595,,,C1_R3_B4,,,,,,,,,,,,
4046,,,C1_R3_B4,,,,,,,,,,,,
9549,,,C1_R3_B4,,,,,,,,,,,,
9501,,,C1_R3_B4,,,,,,,,,,,,
8952,,,C1_R3_B4,,,,,,,,,,,,
AT89C52,,,C1_R3_B4,,,,,,,,,,,,
4017,,,C1_R3_B4,,,,,,,,,,,,
1032,,,C1_R3_B4,,,,,,,,,,,,
4008,,,C1_R3_B4,,,,,,,,,,,,
4046,,,C1_R3_B5,,,,,,,,,,,,
2003,,,C1_R3_B5,,,,,,,,,,,,
